brand,model,version,archetype,runhub_score,category_rank,score_ride,score_cushioning,score_weight,score_comfort_fit,score_durability,score_expert,value_rating,score_confidence,msrp_usd,image_url
Nike,Vomero Plus,,max_cushion,63,7,8.7,6.0,5.6,5.0,5.0,7.6,Great value,high,180,https://cdn.runrepeat.com/storage/gallery/product_primary/40912/nike-vomero-plus-23479827-720.jpg
Nike,Pegasus Premium,,max_cushion,63,8,9.1,8.1,1.0,10.0,5.0,2.2,Fair,high,210,https://cdn.runrepeat.com/storage/gallery/product_primary/40633/nike-pegasus-premium-23005570-720.jpg
ASICS,Superblast,,max_cushion,63,9,7.8,7.3,9.2,0.8,5.0,7.6,Fair,high,200,https://cdn.runrepeat.com/storage/gallery/product_primary/39357/asics-superblast-21166034-720.jpg
Nike,Vomero Premium,,max_cushion,58,10,6.5,10.0,0.0,0.4,5.0,5.9,Premium,high,230,https://cdn.runrepeat.com/storage/gallery/product_primary/41011/nike-vomero-premium-23709495-720.jpg
ASICS,Novablast,5,max_cushion,56,11,7.0,3.8,8.3,2.3,5.0,9.3,Great value,high,150,https://cdn.runrepeat.com/storage/gallery/product_primary/40608/asics-novablast-5-22312736-720.jpg
ASICS,Gel Nimbus,27,max_cushion,56,12,0.9,7.3,4.6,8.8,5.0,4.3,Great value,high,165,https://cdn.runrepeat.com/storage/gallery/product_primary/40620/asics-gel-nimbus-27-22584818-720.jpg
Hoka,Bondi,9,max_cushion,54,13,5.7,4.6,2.9,7.5,5.0,5.9,Fair,high,170,https://cdn.runrepeat.com/storage/gallery/product_primary/40639/hoka-bondi-9-22560581-720.jpg
New Balance,Fresh Foam X More,v5,max_cushion,51,14,3.5,5.4,1.0,9.4,5.0,4.3,Fair,high,155,https://cdn.runrepeat.com/storage/gallery/product_primary/40481/new-balance-fresh-foam-x-more-v-5-21889889-720.jpg
New Balance,Fresh Foam X More,v6,max_cushion,47,15,5.2,5.0,3.8,4.6,2.5,5.9,Fair,high,155,https://cdn.runrepeat.com/storage/gallery/product_primary/40943/new-balance-fresh-foam-x-more-v-6-23502483-720.jpg
ASICS,Gel Nimbus,28,max_cushion,43,16,0.0,2.9,7.3,6.2,5.0,5.9,Fair,high,170,https://cdn.runrepeat.com/storage/gallery/product_primary/41074/asics-gel-nimbus-28-24039655-720.jpg
