slug,name,location,region,city,lat,lng,country,country_slug,url,day,time,distance,type
dandenong,Dandenong parkrun,Dandenong Park,Victoria,Dandenong,-37.991139,145.215644,Australia,australia,https://www.parkrun.com.au/dandenong/,Saturday,,5 km,parkrun
darebin,Darebin parkrun,C T Barling Reserve,Victoria,Kingsbury,-37.721239,145.034293,Australia,australia,https://www.parkrun.com.au/darebin/,Saturday,,5 km,parkrun
darwin,Darwin parkrun,Bicentennial Park,Northern Territory,Darwin,-12.466925,130.840725,Australia,australia,https://www.parkrun.com.au/darwin/,Saturday,,5 km,parkrun
dawesville,Dawesville parkrun,Dawesville Foreshore Reserve,Western Australia,Erskine,-32.625918,115.640914,Australia,australia,https://www.parkrun.com.au/dawesville/,Saturday,,5 km,parkrun
desoza,De Soza parkrun,De Soza,Victoria,Mount Clear,-37.649085,143.883626,Australia,australia,https://www.parkrun.com.au/desoza/,Saturday,,5 km,parkrun
desconnorpark-juniors,Des Connor Park junior parkrun,Des Connor Park,Queensland,Everton Park,-27.441892,152.978964,Australia,australia,https://www.parkrun.com.au/desconnorpark-juniors/,Sunday,,2 km,junior parkrun
devonport,Devonport parkrun,Mersey Bluff,Tasmania,Devonport,-41.162847,146.356321,Australia,australia,https://www.parkrun.com.au/devonport/,Saturday,,5 km,parkrun
dhunggaarrreserve,Dhunggaarr Reserve parkrun,Dhunggaarr Reserve,New South Wales,Harrington,-31.885091,152.654475,Australia,australia,https://www.parkrun.com.au/dhunggaarrreserve/,Saturday,,5 km,parkrun
diamondcreek,Diamond Creek parkrun,Marngrook Oval,Victoria,Diamond Creek,-37.673576,145.153249,Australia,australia,https://www.parkrun.com.au/diamondcreek/,Saturday,,5 km,parkrun
dixonfield,Dixon Field parkrun,Dixon Field,Victoria,Sunbury,-37.483912,144.584456,Australia,australia,https://www.parkrun.com.au/dixonfield/,Saturday,,5 km,parkrun
dollspoint,Dolls Point parkrun,Peter Depena Reserve,New South Wales,Dolls Point,-33.995775,151.144928,Australia,australia,https://www.parkrun.com.au/dollspoint/,Saturday,,5 km,parkrun
dorsetrecreationreserve,Dorset Recreation Reserve parkrun,Dorset Recreation Reserve,Victoria,Bayswater North,-37.805244,145.29128,Australia,australia,https://www.parkrun.com.au/dorsetrecreationreserve/,Saturday,,5 km,parkrun
dragereserve,Drage Reserve parkrun,Drage Reserve,South Australia,Marden,-34.887194,138.640862,Australia,australia,https://www.parkrun.com.au/dragereserve/,Saturday,,5 km,parkrun
dubbo,Dubbo parkrun,Dubbo,New South Wales,Dubbo,-32.256257,148.591034,Australia,australia,https://www.parkrun.com.au/dubbo/,Saturday,,5 km,parkrun
eastrichmond,East Richmond parkrun,Ham Common Bicentenary Park,New South Wales,Richmond,-33.604814,150.774321,Australia,australia,https://www.parkrun.com.au/eastrichmond/,Saturday,,5 km,parkrun
easterngardens,Eastern Gardens parkrun,Eastern Park,Victoria,East Geelong,-38.147322,144.378578,Australia,australia,https://www.parkrun.com.au/easterngardens/,Saturday,,5 km,parkrun
eccoripley,Ecco Ripley parkrun,Ecco Ripley,Queensland,Flinders View,-27.681056,152.80014,Australia,australia,https://www.parkrun.com.au/eccoripley/,Saturday,,5 km,parkrun
echucamoama,Echuca Moama parkrun,Lions Park,Victoria,Echuca,-36.139104,144.739213,Australia,australia,https://www.parkrun.com.au/echucamoama/,Saturday,,5 km,parkrun
edinburghoval,Edinburgh Oval parkrun,Edinburgh Oval Park,Western Australia,St James,-32.003668,115.891775,Australia,australia,https://www.parkrun.com.au/edinburghoval/,Saturday,,5 km,parkrun
edithburgh,Edithburgh parkrun,Edithburgh Tidal Pool,South Australia,Honiton,-35.080717,137.747177,Australia,australia,https://www.parkrun.com.au/edithburgh/,Saturday,,5 km,parkrun
eildonpondage,Eildon Pondage parkrun,Eildon Pondage,Victoria,Alexandra,-37.242627,145.906145,Australia,australia,https://www.parkrun.com.au/eildonpondage/,Saturday,,5 km,parkrun
