slug,name,location,region,city,lat,lng,country,country_slug,url,day,time,distance,type
kershawgardens,Kershaw Gardens parkrun,Kershaw Gardens,Queensland,Rockhampton,-23.361038,150.51636,Australia,australia,https://www.parkrun.com.au/kershawgardens/,Saturday,,5 km,parkrun
kewarrabeach,Kewarra Beach parkrun,Kewarra Beach,Queensland,Trinity Beach,-16.777676,145.683914,Australia,australia,https://www.parkrun.com.au/kewarrabeach/,Saturday,,5 km,parkrun
kilmoreracecoursewalkingtrack,Kilmore Racecourse Walking Track parkrun,Kilmore Racecourse Walking Track,Victoria,Whittlesea,-37.288433,144.960419,Australia,australia,https://www.parkrun.com.au/kilmoreracecoursewalkingtrack/,Saturday,,5 km,parkrun
kingscliff,Kingscliff parkrun,"Bells Boulevard, SALT Village, Kingsclif",New South Wales,Kingscliff,-28.277477,153.578901,Australia,australia,https://www.parkrun.com.au/kingscliff/,Saturday,,5 km,parkrun
kingstonpark,Kingston Park parkrun,Kingston Park,Tasmania,Kingston,-42.972838,147.309649,Australia,australia,https://www.parkrun.com.au/kingstonpark/,Saturday,,5 km,parkrun
kirkdalereserve,Kirkdale Reserve parkrun,Kirkdale Reserve,Victoria,Brunswick East,-37.770512,144.983855,Australia,australia,https://www.parkrun.com.au/kirkdalereserve/,Saturday,,5 km,parkrun
kirra,Kirra parkrun,"Kirra Beach, Gold Coast QLD, Australia",New South Wales,Tweed Heads West,-28.166758,153.522781,Australia,australia,https://www.parkrun.com.au/kirra/,Saturday,,5 km,parkrun
koonwarra,Koonwarra parkrun,The Great Southern Rail Trail,Victoria,North Wonthaggi,-38.547585,145.947772,Australia,australia,https://www.parkrun.com.au/koonwarra/,Saturday,,5 km,parkrun
kununurra,Kununurra parkrun,Swim Beach Park,Western Australia,Kununurra,-15.791571,128.700113,Australia,australia,https://www.parkrun.com.au/kununurra/,Saturday,,5 km,parkrun
lakebogaforeshore,Lake Boga Foreshore parkrun,Lake Boga Foreshore,Victoria,Swan Hill,-35.45108,143.628251,Australia,australia,https://www.parkrun.com.au/lakebogaforeshore/,Saturday,,5 km,parkrun
lakeclaremont,Lake Claremont parkrun,Lake Claremont,Western Australia,Claremont,-31.97481,115.779507,Australia,australia,https://www.parkrun.com.au/lakeclaremont/,Saturday,,5 km,parkrun
lakecolac,Lake Colac parkrun,Lake Colac,Victoria,Colac,-38.332222,143.589186,Australia,australia,https://www.parkrun.com.au/lakecolac/,Saturday,,5 km,parkrun
lakefyanswalkingtrack,Lake Fyans Walking Track parkrun,Lake Fyans Walking Track,Victoria,Stawell,-37.145642,142.616196,Australia,australia,https://www.parkrun.com.au/lakefyanswalkingtrack/,Saturday,,5 km,parkrun
lakejoondalup,Lake Joondalup parkrun,Neil Hawkins Park,Western Australia,Joondalup,-31.744138,115.777144,Australia,australia,https://www.parkrun.com.au/lakejoondalup/,Saturday,,5 km,parkrun
lakemac,Lake Mac parkrun,Lake Macquarie,New South Wales,Fennell Bay,-32.972596,151.612487,Australia,australia,https://www.parkrun.com.au/lakemac/,Saturday,,5 km,parkrun
lakemaryanntingkkarli,Lake Mary Ann Tingkkarli parkrun,Lake Mary Ann Tingkkarli,Northern Territory,Tennant Creek,-19.608546,134.211018,Australia,australia,https://www.parkrun.com.au/lakemaryanntingkkarli/,Saturday,,5 km,parkrun
lakewallace,Lake Wallace parkrun,Lake Wallace,South Australia,Naracoorte,-37.033988,141.295153,Australia,australia,https://www.parkrun.com.au/lakewallace/,Saturday,,5 km,parkrun
lakesentrance,Lakes Entrance parkrun,"Lakes Entrance Rotunda, Memorial Park",Victoria,Lakes Entrance,-37.879944,147.994104,Australia,australia,https://www.parkrun.com.au/lakesentrance/,Saturday,,5 km,parkrun
lakeview,Lakeview parkrun,The Shores Way,New South Wales,Belmont,-33.030093,151.642302,Australia,australia,https://www.parkrun.com.au/lakeview/,Saturday,,5 km,parkrun
lalor,Lalor parkrun,Whittlesea Public Gardens,Victoria,Lalor,-37.668084,144.985422,Australia,australia,https://www.parkrun.com.au/lalor/,Saturday,,5 km,parkrun
lancefield,Lancefield parkrun,Lancefield Park,Victoria,Sunbury,-37.279321,144.724258,Australia,australia,https://www.parkrun.com.au/lancefield/,Saturday,,5 km,parkrun
largsbay,Largs Bay parkrun,Largs Bay,South Australia,Birkenhead,-34.825832,138.485654,Australia,australia,https://www.parkrun.com.au/largsbay/,Saturday,,5 km,parkrun
lawson,Lawson parkrun,North Lawson Park,New South Wales,Lawson,-33.713629,150.426901,Australia,australia,https://www.parkrun.com.au/lawson/,Saturday,,5 km,parkrun
leetonsportandrecreationprecinct,Leeton Sport and Recreation Precinct parkrun,Leeton Sport and Recreation Precinct,New South Wales,Leeton,-34.556093,146.411376,Australia,australia,https://www.parkrun.com.au/leetonsportandrecreationprecinct/,Saturday,,5 km,parkrun
lewisparkreserve,Lewis Park Reserve parkrun,Lewis Park Reserve,Victoria,Knoxfield,-37.86738,145.248705,Australia,australia,https://www.parkrun.com.au/lewisparkreserve/,Saturday,,5 km,parkrun
lillydalelake,Lillydale Lake parkrun,Lilydale Lake,Victoria,Lilydale,-37.766218,145.357071,Australia,australia,https://www.parkrun.com.au/lillydalelake/,Saturday,,5 km,parkrun
lismore,Lismore parkrun,Riverside Park,New South Wales,Lismore,-28.812589,153.270029,Australia,australia,https://www.parkrun.com.au/lismore/,Saturday,,5 km,parkrun
lithgow,Lithgow parkrun,Lithgow Pony Club,New South Wales,Lithgow,-33.494173,150.151201,Australia,australia,https://www.parkrun.com.au/lithgow/,Saturday,,5 km,parkrun
lochiel,Lochiel parkrun,Geoff Health Golf,South Australia,Klemzig,-34.880815,138.649251,Australia,australia,https://www.parkrun.com.au/lochiel/,Saturday,,5 km,parkrun
loganriver,Logan River parkrun,Logan River parklands,Queensland,Beenleigh,-27.698831,153.192024,Australia,australia,https://www.parkrun.com.au/loganriver/,Saturday,,5 km,parkrun
longpoint,Long Point parkrun,Long Point,Western Australia,Port Kennedy,-32.367044,115.729677,Australia,australia,https://www.parkrun.com.au/longpoint/,Saturday,,5 km,parkrun
lota,Lota parkrun,Lota Camping Reserve,Queensland,Manly West,-27.468558,153.193225,Australia,australia,https://www.parkrun.com.au/lota/,Saturday,,5 km,parkrun
louishamonpark,Louis Hamon Park parkrun,Louis Hamon Park,Victoria,Shepparton,-36.094049,145.442706,Australia,australia,https://www.parkrun.com.au/louishamonpark/,Saturday,,5 km,parkrun
mackay,Mackay parkrun,Mackay Botanic Gardens,Queensland,Mackay,-21.152238,149.155797,Australia,australia,https://www.parkrun.com.au/mackay/,Saturday,,5 km,parkrun
macquarieuniversity,Macquarie University parkrun,Macquarie University,New South Wales,Macquarie Park,-33.774425,151.114271,Australia,australia,https://www.parkrun.com.au/macquarieuniversity/,Saturday,,5 km,parkrun
mainbeach,Main Beach parkrun,"Main Beach, Goldcoast",Queensland,Main Beach,-27.972706,153.428879,Australia,australia,https://www.parkrun.com.au/mainbeach/,Saturday,,5 km,parkrun
maitland,Maitland parkrun,Walka Recreation & Wildlife Reserve,New South Wales,Bolwarra,-32.714435,151.552845,Australia,australia,https://www.parkrun.com.au/maitland/,Saturday,,5 km,parkrun
malenytrail,Maleny Trail parkrun,Maleny Trail,Queensland,Woombye,-26.760218,152.860806,Australia,australia,https://www.parkrun.com.au/malenytrail/,Saturday,,5 km,parkrun
manjimup,Manjimup parkrun,Manjimup Homemaker Centre,Western Australia,Manjimup,-34.227785,116.179615,Australia,australia,https://www.parkrun.com.au/manjimup/,Saturday,,5 km,parkrun
mansfieldbotanic,Mansfield Botanic parkrun,Mansfield Botanic Park,Victoria,Mansfield,-37.052419,146.093889,Australia,australia,https://www.parkrun.com.au/mansfieldbotanic/,Saturday,,5 km,parkrun
mansfieldqld,"Mansfield parkrun, Queensland",Tillack Park,Queensland,Mansfield,-27.522987,153.101744,Australia,australia,https://www.parkrun.com.au/mansfieldqld/,Saturday,,5 km,parkrun
mareebarailtrail,Mareeba Rail Trail parkrun,Mareeba Rail Trail,Queensland,Mareeba,-17.010074,145.424039,Australia,australia,https://www.parkrun.com.au/mareebarailtrail/,Saturday,,5 km,parkrun
margaretriver,Margaret River parkrun,Rotary Park,Western Australia,Margaret River,-33.944257,115.074331,Australia,australia,https://www.parkrun.com.au/margaretriver/,Saturday,,5 km,parkrun
mariacreekreserve,Maria Creek Reserve parkrun,Maria Creek Reserve,South Australia,Keith,-36.82741,139.850911,Australia,australia,https://www.parkrun.com.au/mariacreekreserve/,Saturday,,5 km,parkrun
maribyrnong,Maribyrnong parkrun,Maribyrnong,Victoria,Essendon,-37.770632,144.897858,Australia,australia,https://www.parkrun.com.au/maribyrnong/,Saturday,,5 km,parkrun
marina,Marina parkrun,Marina Park,Western Australia,Geraldton,-28.763698,114.613067,Australia,australia,https://www.parkrun.com.au/marina/,Saturday,,5 km,parkrun
maroondahdam,Maroondah Dam parkrun,Maroondah Dam,Victoria,Healesville,-37.642875,145.552323,Australia,australia,https://www.parkrun.com.au/maroondahdam/,Saturday,,5 km,parkrun
marriottwaters,Marriott Waters parkrun,Marriott Waters Reserve,Victoria,Lynbrook,-38.072157,145.249088,Australia,australia,https://www.parkrun.com.au/marriottwaters/,Saturday,,5 km,parkrun
maryborough,Maryborough parkrun,Anzac Park/Ululah Lagoon,Queensland,Maryborough,-25.533689,152.686507,Australia,australia,https://www.parkrun.com.au/maryborough/,Saturday,,5 km,parkrun
mawsonlakes,Mawson Lakes parkrun,Mawson Lakes,South Australia,Ingle Farm,-34.81134,138.616733,Australia,australia,https://www.parkrun.com.au/mawsonlakes/,Saturday,,5 km,parkrun
maylandspeninsula,Maylands Peninsula parkrun,Clarkson Reserve,Western Australia,Rivervale,-31.947167,115.915089,Australia,australia,https://www.parkrun.com.au/maylandspeninsula/,Saturday,,5 km,parkrun
mcleanbeach,McLean Beach parkrun,McLean Beach,New South Wales,Deniliquin,-35.519255,144.959987,Australia,australia,https://www.parkrun.com.au/mcleanbeach/,Saturday,,5 km,parkrun
meadowbrook,Meadowbrook parkrun,Riverdale Park,Queensland,Slacks Creek,-27.673493,153.155785,Australia,australia,https://www.parkrun.com.au/meadowbrook/,Saturday,,5 km,parkrun
memorialpark,Memorial Park parkrun,Memorial Park,South Australia,Port Pirie,-33.179621,138.005566,Australia,australia,https://www.parkrun.com.au/memorialpark/,Saturday,,5 km,parkrun
menai,Menai parkrun,Parc Menai,New South Wales,Menai,-34.016364,151.015082,Australia,australia,https://www.parkrun.com.au/menai/,Saturday,,5 km,parkrun
meningie,Meningie parkrun,248 Esplanade,South Australia,Meningie,-35.68627,139.338438,Australia,australia,https://www.parkrun.com.au/meningie/,Saturday,,5 km,parkrun
mernda,Mernda parkrun,Mernda Adventure Park,Victoria,Mernda,-37.593706,145.100493,Australia,australia,https://www.parkrun.com.au/mernda/,Saturday,,5 km,parkrun
merredinpeak,Merredin Peak parkrun,Merredin Peak,Western Australia,Merredin,-31.470564,118.289452,Australia,australia,https://www.parkrun.com.au/merredinpeak/,Saturday,,5 km,parkrun
milduraweir,Mildura Weir parkrun,Mildura Weir - Lock 11,Victoria,Mildura,-34.175887,142.162215,Australia,australia,https://www.parkrun.com.au/milduraweir/,Saturday,,5 km,parkrun
miles,Miles parkrun,Moraby Park,Queensland,Westcourt,-26.656701,150.180284,Australia,australia,https://www.parkrun.com.au/miles/,Saturday,,5 km,parkrun
minnippi,Minnippi parkrun,Meadowfields Road,Queensland,Belmont,-27.49331,153.118679,Australia,australia,https://www.parkrun.com.au/minnippi/,Saturday,,5 km,parkrun
mitchelton,Mitchelton parkrun,Teralba Park,Queensland,Everton Park,-27.404423,152.979298,Australia,australia,https://www.parkrun.com.au/mitchelton/,Saturday,,5 km,parkrun
moana,Moana parkrun,Moana Surf Life Saving Club,South Australia,Moana,-35.197847,138.470913,Australia,australia,https://www.parkrun.com.au/moana/,Saturday,,5 km,parkrun
montroseforeshore,Montrose Foreshore parkrun,Montrose Foreshore Community Park,Tasmania,Glenorchy,-42.8227,147.269908,Australia,australia,https://www.parkrun.com.au/montroseforeshore/,Saturday,,5 km,parkrun
moora,Moora parkrun,Apex Park,Western Australia,Moora,-30.638892,116.004276,Australia,australia,https://www.parkrun.com.au/moora/,Saturday,,5 km,parkrun
moree,Moree parkrun,Moree,New South Wales,Moree,-29.46707,149.843183,Australia,australia,https://www.parkrun.com.au/moree/,Saturday,,5 km,parkrun
mosman,Mosman parkrun,Spit West Reserve,New South Wales,Clontarf,-33.806252,151.245989,Australia,australia,https://www.parkrun.com.au/mosman/,Saturday,,5 km,parkrun
mountainslie,Mount Ainslie parkrun,Remembrance Nature Park,Australian Capital Territory,Canberra,-35.278828,149.152038,Australia,australia,https://www.parkrun.com.au/mountainslie/,Saturday,,5 km,parkrun
mountbarker,Mount Barker parkrun,Mount Barker Homemaker Centre,South Australia,Mount Barker,-35.069655,138.867869,Australia,australia,https://www.parkrun.com.au/mountbarker/,Saturday,,5 km,parkrun
mountbeauty,Mount Beauty parkrun,Mount Beauty,Victoria,Mount Beauty,-36.736278,147.174015,Australia,australia,https://www.parkrun.com.au/mountbeauty/,Saturday,,5 km,parkrun
mountgambier,Mount Gambier parkrun,Blue Lake Reserve,South Australia,Mount Gambier,-37.84289,140.777854,Australia,australia,https://www.parkrun.com.au/mountgambier/,Saturday,,5 km,parkrun
mounthelena,Mount Helena parkrun,Railway Reserves Heritage Trail,Western Australia,Mount Helena,-31.879999,116.208462,Australia,australia,https://www.parkrun.com.au/mounthelena/,Saturday,,5 km,parkrun
mountisa,Mount Isa parkrun,Tharrapatha Way,Queensland,Mount Isa,-20.702319,139.492772,Australia,australia,https://www.parkrun.com.au/mountisa/,Saturday,,5 km,parkrun
mtclarence,Mt Clarence parkrun,Flinders Parade,Western Australia,Albany,-35.025659,117.916528,Australia,australia,https://www.parkrun.com.au/mtclarence/,Saturday,,5 km,parkrun
mtpenang,Mt Penang parkrun,Mt Penang Parklands,New South Wales,Point Clare,-33.426328,151.293178,Australia,australia,https://www.parkrun.com.au/mtpenang/,Saturday,,5 km,parkrun
mudgee,Mudgee parkrun,Mudgee,New South Wales,Mudgee,-32.589229,149.586719,Australia,australia,https://www.parkrun.com.au/mudgee/,Saturday,,5 km,parkrun
mudgeeraba,Mudgeeraba parkrun,Darcy Doyle Park,Queensland,Clear Island Waters,-28.086682,153.364098,Australia,australia,https://www.parkrun.com.au/mudgeeraba/,Saturday,,5 km,parkrun
mudjimbabeach,Mudjimba Beach parkrun,Cnr Mudjimba Beach Esplanade and Mudjimb,Queensland,Mooloolaba,-26.615149,153.100818,Australia,australia,https://www.parkrun.com.au/mudjimbabeach/,Saturday,,5 km,parkrun
mullummullum,Mullum Mullum parkrun,"Schwerkolt Cottage, Mitcham",Victoria,Mitcham,-37.811673,145.21251,Australia,australia,https://www.parkrun.com.au/mullummullum/,Saturday,,5 km,parkrun
mundyregional,Mundy Regional parkrun,Mundy Regional Park,Western Australia,Maida Vale,-31.96618,116.035959,Australia,australia,https://www.parkrun.com.au/mundyregional/,Saturday,,5 km,parkrun
mypongareservoir,Myponga Reservoir parkrun,Myponga Reservoir,South Australia,Aldinga,-35.394655,138.452385,Australia,australia,https://www.parkrun.com.au/mypongareservoir/,Saturday,,5 km,parkrun
nagambielake,Nagambie Lake parkrun,Nagambie Lake,Victoria,Shepparton,-36.786149,145.148185,Australia,australia,https://www.parkrun.com.au/nagambielake/,Saturday,,5 km,parkrun
nambour,Nambour parkrun,Parklands Regional Park,Queensland,Twin Waters,-26.594251,152.973543,Australia,australia,https://www.parkrun.com.au/nambour/,Saturday,,5 km,parkrun
nantuwama,Nantu Wama parkrun,Nantu Wama/Lefevre Park,South Australia,North Adelaide,-34.905183,138.600665,Australia,australia,https://www.parkrun.com.au/nantuwama/,Saturday,,5 km,parkrun
naracoortelake,Naracoorte Lake parkrun,Naracoorte Swimming Lake,South Australia,Naracoorte,-36.949411,140.741843,Australia,australia,https://www.parkrun.com.au/naracoortelake/,Saturday,,5 km,parkrun
naroomawetlands,Narooma Wetlands parkrun,Narooma Wetlands,South Australia,Murray Bridge,-35.12956,139.293059,Australia,australia,https://www.parkrun.com.au/naroomawetlands/,Saturday,,5 km,parkrun
narrabri,Narrabri parkrun,Narrabri West Lake,New South Wales,Narrabri,-30.33885,149.755908,Australia,australia,https://www.parkrun.com.au/narrabri/,Saturday,,5 km,parkrun
narrominewetlands,Narromine Wetlands parkrun,Narromine Wetlands,New South Wales,Narromine,-32.246949,148.236598,Australia,australia,https://www.parkrun.com.au/narrominewetlands/,Saturday,,5 km,parkrun
nathaliashowgrounds,Nathalia Showgrounds parkrun,Nathalia Showgrounds and Recreation Reserve,Victoria,Kyabram,-36.053066,145.211172,Australia,australia,https://www.parkrun.com.au/nathaliashowgrounds/,Saturday,,5 km,parkrun
nathanroadsportsground,Nathan Road Sports Ground parkrun,Nathan Road Sports Ground,Queensland,Scarborough,-27.211218,153.073387,Australia,australia,https://www.parkrun.com.au/nathanroadsportsground/,Saturday,,5 km,parkrun
nepeanriver,Nepean River parkrun,Penrith,New South Wales,Glenmore Park,-33.761704,150.664414,Australia,australia,https://www.parkrun.com.au/nepeanriver/,Saturday,,5 km,parkrun
newfarm,New Farm parkrun,"New Farm, Brisbane",Queensland,Balmoral,-27.471134,153.051636,Australia,australia,https://www.parkrun.com.au/newfarm/,Saturday,,5 km,parkrun
newborough,Newborough parkrun,Moe Botanic Garden,Victoria,Moe,-38.178663,146.270714,Australia,australia,https://www.parkrun.com.au/newborough/,Saturday,,5 km,parkrun
newcastlepark,Newcastle Park parkrun,Newcastle Park,Western Australia,Toodyay,-31.55064,116.470403,Australia,australia,https://www.parkrun.com.au/newcastlepark/,Saturday,,5 km,parkrun
newportlakes,Newport Lakes parkrun,Newport Lakes Reserve,Victoria,South Kingsville,-37.840109,144.870716,Australia,australia,https://www.parkrun.com.au/newportlakes/,Saturday,,5 km,parkrun
newy,Newy parkrun,"50a Tully St, Carrington, Newcastle NSW",New South Wales,Carrington,-32.914566,151.76144,Australia,australia,https://www.parkrun.com.au/newy/,Saturday,,5 km,parkrun
nhill,Nhill parkrun,Nhill Swamp and Wildlife Reserve,Victoria,Horsham,-36.338609,141.645653,Australia,australia,https://www.parkrun.com.au/nhill/,Saturday,,5 km,parkrun
nightcliff,Nightcliff parkrun,Rapid Creek,Northern Territory,Nightcliff,-12.376205,130.857655,Australia,australia,https://www.parkrun.com.au/nightcliff/,Saturday,,5 km,parkrun
nolenspark,Nolen’s Park parkrun,Nolen’s Park,Victoria,Swan Hill,-36.117426,143.727281,Australia,australia,https://www.parkrun.com.au/nolenspark/,Saturday,,5 km,parkrun
noosa,Noosa parkrun,Noosaville,Queensland,Tewantin,-26.40872,153.030388,Australia,australia,https://www.parkrun.com.au/noosa/,Saturday,,5 km,parkrun
northharbour,North Harbour parkrun,North Harbour Heritage Park,Queensland,Morayfield,-27.106368,152.998427,Australia,australia,https://www.parkrun.com.au/northharbour/,Saturday,,5 km,parkrun
northlakes,North Lakes parkrun,"Eden Lake, North Lakes, Queensland",Queensland,Mango Hill,-27.23669,153.020729,Australia,australia,https://www.parkrun.com.au/northlakes/,Saturday,,5 km,parkrun
northshore,North Shore parkrun,North Shore,Queensland,Bohle Plains,-19.252326,146.70074,Australia,australia,https://www.parkrun.com.au/northshore/,Saturday,,5 km,parkrun
northsydney,North Sydney parkrun,St Leonards Park,New South Wales,Neutral Bay,-33.830396,151.211772,Australia,australia,https://www.parkrun.com.au/northsydney/,Saturday,,5 km,parkrun
northwollongong,North Wollongong parkrun,Fairy Meadow Beach,New South Wales,Fairy Meadow,-34.395977,150.904866,Australia,australia,https://www.parkrun.com.au/northwollongong/,Saturday,,5 km,parkrun
northparkesoval,Northparkes Oval parkrun,Northparkes Oval,New South Wales,Parkes,-33.126723,148.18147,Australia,australia,https://www.parkrun.com.au/northparkesoval/,Saturday,,5 km,parkrun
nulkaba,Nulkaba parkrun,St Phillips Christian College,New South Wales,Cessnock,-32.794952,151.352856,Australia,australia,https://www.parkrun.com.au/nulkaba/,Saturday,,5 km,parkrun
nuriootpa,Nuriootpa parkrun,"Coulthard Reserve, Nuriootpa",South Australia,Nuriootpa,-34.466685,139.006952,Australia,australia,https://www.parkrun.com.au/nuriootpa/,Saturday,,5 km,parkrun
oakey,Oakey parkrun,Oakey Park,Queensland,Oakey,-27.429333,151.720815,Australia,australia,https://www.parkrun.com.au/oakey/,Saturday,,5 km,parkrun
oaklandsestatereserve,Oaklands Estate Reserve parkrun,Oaklands Estate Reserve,South Australia,Sturt,-34.999482,138.548072,Australia,australia,https://www.parkrun.com.au/oaklandsestatereserve/,Saturday,,5 km,parkrun
oceangrove,Ocean Grove parkrun,Barwon Estuary Picnic Area,Victoria,Leopold,-38.267313,144.512783,Australia,australia,https://www.parkrun.com.au/oceangrove/,Saturday,,5 km,parkrun
oceanview,Ocean View parkrun,Ocean View Estates,Queensland,D'Aguilar,-27.121296,152.802517,Australia,australia,https://www.parkrun.com.au/oceanview/,Saturday,,5 km,parkrun
oldeskrailwaystation,Old Esk Railway Station parkrun,Old Esk Railway Station,Queensland,Gatton,-27.241567,152.41977,Australia,australia,https://www.parkrun.com.au/oldeskrailwaystation/,Saturday,,5 km,parkrun
oldthomsonriverroad,Old Thomson River Road parkrun,Old Thomson River Road,Queensland,Hughenden,-23.436746,144.243624,Australia,australia,https://www.parkrun.com.au/oldthomsonriverroad/,Saturday,,5 km,parkrun
orange,Orange parkrun,Gosling Creek Reserve,New South Wales,Orange,-33.325825,149.089749,Australia,australia,https://www.parkrun.com.au/orange/,Saturday,,5 km,parkrun
ourpark,Our Park parkrun,Our Park,Tasmania,Sorell,-42.559297,147.876873,Australia,australia,https://www.parkrun.com.au/ourpark/,Saturday,,5 km,parkrun
ovensrivertrail,Ovens River Trail parkrun,Ovens River Trail,Victoria,Wangaratta,-36.555094,146.711688,Australia,australia,https://www.parkrun.com.au/ovensrivertrail/,Saturday,,5 km,parkrun
oconnorsbeach,O’Connors Beach parkrun,O’Connors Beach,Tasmania,St Helens,-41.338567,148.274083,Australia,australia,https://www.parkrun.com.au/oconnorsbeach/,Saturday,,5 km,parkrun
pakapakanthi,Pakapakanthi parkrun,Pakapakanthi/Victoria Park,South Australia,Adelaide,-34.928906,138.617578,Australia,australia,https://www.parkrun.com.au/pakapakanthi/,Saturday,,5 km,parkrun
pakenham,Pakenham parkrun,Pakenham,Victoria,Officer,-38.06462,145.463839,Australia,australia,https://www.parkrun.com.au/pakenham/,Saturday,,5 km,parkrun
pallara,Pallara parkrun,Brookbent Road Park,Queensland,Inala,-27.609314,153.011071,Australia,australia,https://www.parkrun.com.au/pallara/,Saturday,,5 km,parkrun
palmcreek,Palm Creek parkrun,Palm Creek,Queensland,Ingham,-18.651491,146.161677,Australia,australia,https://www.parkrun.com.au/palmcreek/,Saturday,,5 km,parkrun
palmerston,Palmerston parkrun,Palmerston Water Park,Northern Territory,Palmerston,-12.475829,130.982607,Australia,australia,https://www.parkrun.com.au/palmerston/,Saturday,,5 km,parkrun
panania,Panania parkrun,Field of Dreams Reserve,New South Wales,Milperra,-33.945673,150.993483,Australia,australia,https://www.parkrun.com.au/panania/,Saturday,,5 km,parkrun
panboolawetlands,Panboola Wetlands parkrun,Panboola Wetlands,New South Wales,Merimbula,-36.932932,149.876361,Australia,australia,https://www.parkrun.com.au/panboolawetlands/,Saturday,,5 km,parkrun
paradisepoint,Paradise Point parkrun,Paradise Point,Queensland,Southport,-27.885082,153.396218,Australia,australia,https://www.parkrun.com.au/paradisepoint/,Saturday,,5 km,parkrun
parkindulareserve,Parkindula Reserve parkrun,Parkindula Reserve,South Australia,Mount Barker,-35.090709,138.867671,Australia,australia,https://www.parkrun.com.au/parkindulareserve/,Saturday,,5 km,parkrun
parklakeswetlands,Parklakes Wetlands parkrun,Parklakes Wetlands,Queensland,Twin Waters,-26.604659,153.024148,Australia,australia,https://www.parkrun.com.au/parklakeswetlands/,Saturday,,5 km,parkrun
parkville,Parkville parkrun,Princes Park,Victoria,Carlton North,-37.784837,144.961755,Australia,australia,https://www.parkrun.com.au/parkville/,Saturday,,5 km,parkrun
parramatta,Parramatta parkrun,Eric Primrose Reserve,New South Wales,Ermington,-33.820838,151.063534,Australia,australia,https://www.parkrun.com.au/parramatta/,Saturday,,5 km,parkrun
patawalongariver,Patawalonga River parkrun,Anderson Avenue,South Australia,Glenelg,-34.963603,138.516116,Australia,australia,https://www.parkrun.com.au/patawalongariver/,Saturday,,5 km,parkrun
pembroke,Pembroke parkrun,Pembroke Park,Tasmania,Sorell,-42.780686,147.558066,Australia,australia,https://www.parkrun.com.au/pembroke/,Saturday,,5 km,parkrun
penrithlakes,Penrith Lakes parkrun,Sydney International Regatta Centre,New South Wales,Penrith,-33.725922,150.685741,Australia,australia,https://www.parkrun.com.au/penrithlakes/,Saturday,,5 km,parkrun
peppertree,Peppertree parkrun,Peppertree Park,Victoria,Bacchus Marsh,-37.68168,144.432973,Australia,australia,https://www.parkrun.com.au/peppertree/,Saturday,,5 km,parkrun
perrylakes,Perry Lakes parkrun,Perry Lakes Reserve,Western Australia,Shenton Park,-31.945635,115.784168,Australia,australia,https://www.parkrun.com.au/perrylakes/,Saturday,,5 km,parkrun
petrie,Petrie parkrun,Sweeney Reserve,Queensland,Strathpine,-27.273406,152.974425,Australia,australia,https://www.parkrun.com.au/petrie/,Saturday,,5 km,parkrun
phillipisland,Phillip Island parkrun,Churchill Island,Victoria,Phillip Island,-38.498822,145.340674,Australia,australia,https://www.parkrun.com.au/phillipisland/,Saturday,,5 km,parkrun
picnicpointparklands,Picnic Point Parklands parkrun,Picnic Point Parklands,Queensland,Rangeville,-27.578938,151.986016,Australia,australia,https://www.parkrun.com.au/picnicpointparklands/,Saturday,,5 km,parkrun
picton,Picton parkrun,Picton Botanic Gardens Bike Track,New South Wales,Picton,-34.16566,150.610264,Australia,australia,https://www.parkrun.com.au/picton/,Saturday,,5 km,parkrun
pioneerdairy,Pioneer Dairy parkrun,Pioneer Dairy,New South Wales,Chittaway Bay,-33.29805,151.427968,Australia,australia,https://www.parkrun.com.au/pioneerdairy/,Saturday,,5 km,parkrun
pioneer,Pioneer parkrun,Pioneer Park,Western Australia,Gosnells,-32.066125,116.001509,Australia,australia,https://www.parkrun.com.au/pioneer/,Saturday,,5 km,parkrun
pirrama,Pirrama parkrun,Pirrama,New South Wales,Balmain East,-33.865396,151.191857,Australia,australia,https://www.parkrun.com.au/pirrama/,Saturday,,5 km,parkrun
pittsworth,Pittsworth parkrun,Pittsworth,Queensland,Westbrook,-27.712352,151.641106,Australia,australia,https://www.parkrun.com.au/pittsworth/,Saturday,,5 km,parkrun
plantation,Plantation parkrun,Plantation Park,Queensland,Ayr,-19.584321,147.401024,Australia,australia,https://www.parkrun.com.au/plantation/,Saturday,,5 km,parkrun
pointcook,Point Cook parkrun,Arndell Park Community Centre,Victoria,Williams Landing,-37.862086,144.72952,Australia,australia,https://www.parkrun.com.au/pointcook/,Saturday,,5 km,parkrun
pointhutpond,Point Hut Pond parkrun,Point Hut Pond District Park,Australian Capital Territory,Macarthur,-35.454104,149.084343,Australia,australia,https://www.parkrun.com.au/pointhutpond/,Saturday,,5 km,parkrun
pointvernonforeshorereserve,Point Vernon Foreshore Reserve parkrun,Point Vernon Foreshore Reserve,Queensland,Scarness,-25.258635,152.825102,Australia,australia,https://www.parkrun.com.au/pointvernonforeshorereserve/,Saturday,,5 km,parkrun
portaugusta,Port Augusta parkrun,Eastside Foreshore (underneath the Joy Baluch),South Australia,Port Augusta West,-32.4874,137.764721,Australia,australia,https://www.parkrun.com.au/portaugusta/,Saturday,,5 km,parkrun
